goos: linux
goarch: amd64
pkg: gitlab.com/jhinrichsen/adventofcode2023
cpu: Intel(R) Core(TM) i7-14700K
BenchmarkDay09Part1-28      	   32576	     36919 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay09Part1-28      	   31934	     37165 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay09Part1-28      	   32605	     36907 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay09Part1-28      	   32403	     36821 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay09Part1-28      	   32596	     36711 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay09Part1-28      	   32607	     36792 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay09Part1-28      	   32665	     36695 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay09Part1-28      	   32841	     36631 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay09Part1-28      	   32914	     36684 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay09Part2-28      	   31896	     37672 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay09Part2-28      	   32041	     37468 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay09Part2-28      	   31971	     37596 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay09Part2-28      	   32080	     37546 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay09Part2-28      	   32046	     37498 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay09Part2-28      	   31735	     37719 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay09Part2-28      	   32022	     37503 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay09Part2-28      	   32107	     37458 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay09Part2-28      	   31672	     37776 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay09Part2-28      	
